Time,Info1,Info2,Info3,Fail_Rate,Delay,Out_Flow,Traffic,Request,Label
92,1284.0,1162.0,3710.0,4826917.0,3938.0,0.850,631,4820.0,0
93,1271.0,1201.0,3672.0,4806141.0,3889.0,0.590,572,4766.0,0
94,1263.0,1161.0,3583.0,4732030.0,3833.0,0.820,639,4746.0,0
95,1233.0,1170.0,3575.0,4698622.0,3779.0,0.710,588,4700.0,0
96,1218.0,1192.0,3534.0,4641657.0,3772.0,0.620,548,4608.0,0
97,1212.0,1193.0,3545.0,4594068.0,3735.0,1.110,579,4573.0,0
98,1221.0,1155.0,3505.0,4543736.0,3686.0,0.790,569,4567.0,0
99,1195.0,1163.0,3469.0,4500897.0,3623.0,0.620,612,4539.0,0
100,1184.0,1161.0,3426.0,4489668.0,3608.0,1.190,570,4475.0,0
101,1166.0,1160.0,3385.0,4430806.0,3525.0,0.960,573,4438.0,0
102,1162.0,1148.0,3349.0,4372865.0,3531.0,0.830,603,4385.0,0
103,1154.0,1133.0,3329.0,4324367.0,3507.0,0.750,681,4348.0,0
104,1117.0,1161.0,3280.0,4261504.0,3427.0,0.580,589,4293.0,0
105,1115.0,1157.0,3245.0,4288081.0,3397.0,0.780,611,4237.0,0
106,1117.0,1146.0,3177.0,4221110.0,3412.0,0.660,576,4191.0,0
107,1095.0,1154.0,3136.0,4128151.0,3368.0,0.830,568,4126.0,0
108,1119.0,1191.0,3088.0,4093418.0,3359.0,0.60,633,4100.0,0
109,1086.0,1147.0,3053.0,4070722.0,3302.0,0.6899999999999999,618,4051.0,0
110,1066.0,1156.0,3015.0,4021519.0,3305.0,0.6899999999999999,550,4007.0,0
111,1054.0,1142.0,2997.0,3958544.0,3272.0,0.680,594,3960.0,0
112,1067.0,1142.0,2981.0,3883884.0,3217.0,0.760,654,3934.0,0
113,1041.0,1183.0,2947.0,3864979.0,3202.0,0.640,562,3905.0,0
114,1029.0,1200.0,2904.0,3821481.0,3157.0,0.6899999999999999,590,3852.0,0
115,1029.0,1144.0,2910.0,3801435.0,3125.0,0.490,565,3821.0,0
116,1018.0,1112.0,2844.0,3770114.0,3064.0,0.650,603,3796.0,0
117,1018.0,1137.0,2835.0,3732657.0,3065.0,0.880,595,3764.0,0
118,989.0,1160.0,2812.0,3707031.0,3020.0,1.070,529,3666.0,0
119,1007.0,1144.0,2785.0,3659773.0,3012.0,0.830,622,3706.0,0
120,981.0,1175.0,2768.0,3658012.0,2960.0,0.670,609,3657.0,0
121,978.0,1180.0,2720.0,3581172.0,2960.0,1.070,608,3583.0,0
122,975.0,1149.0,2685.0,3562656.0,2925.0,0.630,603,3561.0,0
123,958.0,1128.0,2648.0,3497225.0,2887.0,0.510,621,3526.0,0
124,942.0,1185.0,2646.0,3495540.0,2854.0,0.770,595,3499.0,0
125,943.0,1167.0,2595.0,3482711.0,2868.0,0.570,611,3456.0,0
126,935.0,1109.0,2563.0,3459666.0,2820.0,0.840,637,3398.0,0
127,921.0,1158.0,2529.0,3382386.0,2811.0,0.660,595,3352.0,0
128,901.0,1146.0,2520.0,3318376.0,2777.0,0.750,632,3369.0,0
129,892.0,1137.0,2505.0,3316941.0,2738.0,0.790,593,3320.0,0
130,896.0,1134.0,2492.0,3310901.0,2832.0,0.990,548,3291.0,0
131,889.0,1149.0,2472.0,3297014.0,2674.0,0.650,599,3309.0,0
132,880.0,1122.0,2458.0,3262075.0,2668.0,0.610,572,3268.0,0
133,883.0,1165.0,2436.0,3273539.0,2652.0,1.030,586,3243.0,0
134,892.0,1155.0,2426.0,3271942.0,2618.0,0.670,567,3240.0,0
135,907.0,1122.0,2411.0,3242915.0,2599.0,0.730,533,3236.0,0
136,887.0,1119.0,2366.0,3243230.0,2601.0,0.580,593,3186.0,0
137,865.0,1080.0,2320.0,3180901.0,2546.0,0.650,548,3130.0,0
138,834.0,1104.0,2330.0,3147068.0,2515.0,0.770,561,3067.0,0
139,836.0,1157.0,2315.0,3086265.0,2510.0,0.870,565,3063.0,0
140,830.0,1147.0,2283.0,3065966.0,2466.0,0.960,585,3032.0,0
141,848.0,1160.0,2246.0,3037222.0,2465.0,0.740,601,3038.0,0
142,823.0,1134.0,2254.0,3039539.0,2413.0,0.640,581,2983.0,0
143,821.0,1122.0,2233.0,3025960.0,2409.0,1.320,585,2967.0,0
144,817.0,1165.0,2201.0,3000222.0,2405.0,1.050,591,2963.0,0
145,797.0,1099.0,2187.0,2945405.0,2361.0,0.640,629,2932.0,0
146,786.0,1095.0,2170.0,2939533.0,2338.0,0.670,577,2868.0,0
147,791.0,1115.0,2148.0,2873146.0,2337.0,0.640,557,2856.0,0
148,783.0,1116.0,2129.0,2839081.0,2324.0,1.410,603,2842.0,0
149,761.0,1121.0,2114.0,2807670.0,2285.0,0.670,618,2804.0,0
150,761.0,1184.0,2111.0,2754500.0,2229.0,0.760,571,2795.0,0
151,767.0,1168.0,2091.0,2786812.0,2236.0,0.630,666,2785.0,0
152,756.0,1212.0,2080.0,2770655.0,2205.0,0.90,562,2731.0,0
153,748.0,1109.0,2068.0,2741329.0,2184.0,1.090,610,2748.0,0
154,751.0,1130.0,2047.0,2754633.0,2191.0,0.650,550,2728.0,0
155,736.0,1145.0,2016.0,2703179.0,2150.0,0.960,597,2673.0,0
156,744.0,1153.0,1983.0,2660783.0,2163.0,0.740,624,2652.0,0
157,735.0,1157.0,1981.0,2632331.0,2157.0,0.970,543,2616.0,0
158,725.0,1184.0,1969.0,2624570.0,2134.0,1.230,593,2606.0,0
159,719.0,1092.0,1956.0,2587645.0,2091.0,0.550,592,2593.0,0
160,713.0,1119.0,1943.0,2607015.0,2052.0,0.580,618,2571.0,0
161,714.0,1141.0,1931.0,2606700.0,2063.0,1.080,566,2558.0,0
162,697.0,1139.0,1921.0,2581090.0,2057.0,0.920,576,2526.0,0
163,699.0,1121.0,1925.0,2537247.0,2037.0,0.840,590,2505.0,0
164,686.0,1114.0,1871.0,2507707.0,2028.0,0.730,600,2470.0,0
165,698.0,1110.0,1848.0,2494372.0,2033.0,0.590,539,2451.0,0
166,683.0,1149.0,1850.0,2454384.0,2037.0,0.930,574,2424.0,0
167,693.0,1090.0,1840.0,2430786.0,2021.0,0.920,607,2465.0,0
168,686.0,1080.0,1817.0,2429859.0,1970.0,0.730,625,2422.0,0
169,662.0,1183.0,1796.0,2403849.0,1957.0,0.720,617,2390.0,0
170,672.0,1126.0,1810.0,2421827.0,1946.0,0.620,589,2387.0,0
171,673.0,1154.0,1785.0,2428599.0,1943.0,0.760,536,2354.0,0
172,646.0,1113.0,1764.0,2410712.0,1917.0,0.930,561,2311.0,0
173,657.0,1175.0,1765.0,2398523.0,1911.0,0.570,604,2319.0,0
174,655.0,1166.0,1734.0,2346716.0,1930.0,0.6899999999999999,595,2295.0,0
175,642.0,1163.0,1732.0,2288533.0,1900.0,0.640,615,2257.0,0
176,627.0,1116.0,1709.0,2280505.0,1886.0,1.020,556,2234.0,0
177,632.0,1142.0,1710.0,2222382.0,1873.0,0.570,520,2221.0,0
178,624.0,1119.0,1685.0,2222521.0,1829.0,0.530,552,2192.0,0
179,617.0,1144.0,1666.0,2215318.0,1821.0,0.620,572,2157.0,0
180,611.0,1134.0,1662.0,2192192.0,1812.0,0.620,589,2142.0,0
181,613.0,1083.0,1636.0,2176702.0,1800.0,0.610,572,2129.0,0
182,599.0,1111.0,1640.0,2164707.0,1774.0,1.090,575,2112.0,0
183,596.0,1096.0,1628.0,2129758.0,1764.0,0.840,561,2122.0,0
184,589.0,1134.0,1610.0,2146072.0,1780.0,0.650,608,2068.0,0
185,603.0,1150.0,1600.0,2183643.0,1761.0,0.470,639,2103.0,0
186,594.0,1161.0,1594.0,2178274.0,1740.0,0.420,538,2083.0,0
187,588.0,1152.0,1581.0,2121497.0,1736.0,1.220,673,2062.0,0
188,590.0,1127.0,1568.0,2092788.0,1712.0,0.780,642,2037.0,0
189,573.0,1105.0,1562.0,2063900.0,1726.0,0.510,573,2035.0,0
190,566.0,1108.0,1565.0,2069803.0,1683.0,0.720,583,2002.0,0
191,554.0,1151.0,1553.0,2072053.0,1646.0,0.430,593,1978.0,0
192,565.0,1147.0,1547.0,2064192.0,1646.0,0.770,584,1989.0,0
193,553.0,1270.0,1536.0,2045580.0,1622.0,0.990,596,1960.0,0
194,555.0,1144.0,1528.0,2025901.0,1661.0,1.450,604,1946.0,0
195,547.0,1127.0,1513.0,1988658.0,1621.0,0.790,586,1932.0,0
196,535.0,1118.0,1492.0,1974060.0,1599.0,0.470,534,1909.0,0
197,551.0,1118.0,1482.0,1965201.0,1588.0,0.660,585,1926.0,0
198,550.0,1123.0,1479.0,1972813.0,1588.0,1.280,595,1909.0,0
199,542.0,1107.0,1474.0,1967155.0,1598.0,1.440,619,1883.0,0
200,542.0,1075.0,1454.0,1962852.0,1565.0,0.8100000000000001,591,1898.0,1
201,545.0,1157.0,1453.0,1968608.0,1577.0,1.120,539,1890.0,1
202,537.0,1127.0,1442.0,1940199.0,1562.0,1.010,584,1864.0,1
203,530.0,1173.0,1427.0,1921676.0,1561.0,0.80,585,1796.0,1
204,537.0,1099.0,1399.0,1914226.0,1553.0,0.80,612,1839.0,1
205,530.0,1061.0,1413.0,1920718.0,1548.0,0.540,632,1843.0,1
206,530.0,1159.0,1414.0,1919104.0,1522.0,1.90,622,1844.0,2
207,526.0,1100.0,1400.0,1905804.0,1520.0,0.520,595,1812.0,0
208,530.0,1090.0,1392.0,1898353.0,1519.0,1.090,587,1806.0,0
209,525.0,1083.0,1380.0,1862260.0,1504.0,1.260,605,1789.0,0
210,519.0,1094.0,1379.0,1870450.0,1500.0,0.860,605,1796.0,0
211,511.0,1126.0,1373.0,1882930.0,1490.0,0.630,581,1780.0,0
212,521.0,1109.0,1378.0,1849771.0,1516.0,0.570,595,1766.0,0
213,516.0,1098.0,1356.0,1844560.0,1504.0,0.450,607,1764.0,0
214,511.0,1133.0,1362.0,1847226.0,1495.0,1.630,545,1762.0,0
215,508.0,1102.0,1343.0,1838122.0,1480.0,0.580,565,1744.0,0
216,493.0,1135.0,1332.0,1824553.0,1454.0,1.180,666,1700.0,0
217,502.0,1116.0,1321.0,1776866.0,1459.0,0.420,557,1724.0,0
218,490.0,1125.0,1321.0,1789415.0,1433.0,1.140,598,1705.0,0
219,490.0,1111.0,1314.0,1806713.0,1419.0,0.680,555,1681.0,0
220,486.0,1127.0,1316.0,1794396.0,1408.0,0.580,595,1681.0,0
221,487.0,1075.0,1304.0,1769740.0,1412.0,0.570,620,1664.0,0
222,482.0,1114.0,1289.0,1763246.0,1406.0,0.660,579,1670.0,0
223,494.0,1095.0,1299.0,1748491.0,1408.0,0.890,632,1689.0,0
224,477.0,1104.0,1279.0,1726434.0,1368.0,0.80,661,1658.0,0
225,470.0,1118.0,1292.0,1711729.0,1379.0,0.90,594,1647.0,0
226,475.0,1125.0,1278.0,1721143.0,1378.0,0.720,563,1640.0,0
227,470.0,1084.0,1255.0,1747454.0,1342.0,0.860,514,1624.0,0
228,478.0,1095.0,1258.0,1743589.0,1365.0,1.190,578,1625.0,0
229,470.0,1166.0,1253.0,1716585.0,1361.0,1.10,623,1618.0,0
230,477.0,1091.0,1253.0,1709749.0,1355.0,0.50,626,1634.0,0
231,470.0,1155.0,1238.0,1691036.0,1349.0,1.420,617,1589.0,0
232,466.0,1174.0,1239.0,1688256.0,1330.0,0.650,597,1604.0,0
233,481.0,1125.0,1239.0,1694669.0,1355.0,0.670,522,1627.0,0
234,471.0,1101.0,1240.0,1686494.0,1339.0,1.020,602,1605.0,0
235,473.0,1170.0,1234.0,1693141.0,1324.0,0.830,590,1594.0,0
236,470.0,1130.0,1215.0,1690576.0,1324.0,1.410,646,1584.0,0
237,464.0,1110.0,1216.0,1676844.0,1337.0,0.80,640,1558.0,0
238,467.0,1142.0,1217.0,1660675.0,1324.0,0.880,604,1558.0,0
239,462.0,1186.0,1217.0,1685871.0,1310.0,0.730,524,1568.0,0
240,462.0,1117.0,1200.0,1652585.0,1319.0,1.010,565,1568.0,0
241,467.0,1115.0,1199.0,1664942.0,1300.0,1.430,559,1574.0,0
242,460.0,1119.0,1209.0,1664905.0,1286.0,0.950,561,1545.0,0
243,459.0,1139.0,1207.0,1694157.0,1286.0,0.650,595,1561.0,0
244,461.0,1090.0,1188.0,1712675.0,1281.0,0.80,622,1546.0,0
245,460.0,1161.0,1189.0,1705812.0,1274.0,0.750,545,1523.0,1
246,462.0,1128.0,1185.0,1663888.0,1276.0,0.770,652,1509.0,1
247,444.0,1165.0,1189.0,1667704.0,1267.0,0.660,567,1503.0,1
248,459.0,1070.0,1199.0,1643060.0,1255.0,0.670,546,1524.0,1
249,455.0,1079.0,1191.0,1651743.0,1260.0,1.730,532,1518.0,1
250,464.0,1106.0,1184.0,1663669.0,1279.0,0.630,609,1542.0,1
251,468.0,1107.0,1188.0,1679992.0,1269.0,0.280,599,1524.0,2
252,462.0,1155.0,1186.0,1689422.0,1245.0,0.370,587,1523.0,0
253,475.0,1055.0,1184.0,1677283.0,1267.0,0.90,549,1533.0,0
254,456.0,1048.0,1185.0,1634040.0,1260.0,0.670,516,1506.0,0
255,453.0,1092.0,1178.0,1616539.0,1236.0,1.110,630,1496.0,0
256,460.0,1159.0,1176.0,1626160.0,1238.0,0.660,707,1499.0,0
257,446.0,1098.0,1164.0,1637270.0,1225.0,0.910,541,1475.0,0
258,455.0,1104.0,1166.0,1587439.0,1240.0,0.780,574,1471.0,0
259,442.0,1097.0,1170.0,1598762.0,1209.0,0.540,543,1452.0,0
260,450.0,1151.0,1179.0,1595152.0,1220.0,1.420,613,1471.0,0
261,450.0,996.0,1169.0,1583901.0,1231.0,0.790,633,1466.0,0
262,443.0,1123.0,1166.0,1587309.0,1224.0,0.520,655,1454.0,0
263,463.0,1166.0,1164.0,1592154.0,1229.0,0.490,550,1478.0,0
264,444.0,1062.0,1167.0,1622138.0,1208.0,0.90,560,1441.0,0
265,446.0,1072.0,1162.0,1610096.0,1202.0,0.90,589,1465.0,0
266,441.0,1144.0,1155.0,1573514.0,1205.0,0.790,632,1453.0,0
267,452.0,1108.0,1154.0,1583411.0,1210.0,0.670,554,1443.0,0
268,445.0,1085.0,1153.0,1572915.0,1220.0,0.590,579,1434.0,0
269,446.0,1115.0,1161.0,1583665.0,1205.0,0.9399999999999999,607,1432.0,0
270,445.0,1116.0,1163.0,1587705.0,1201.0,0.870,596,1443.0,0
271,437.0,1112.0,1160.0,1566824.0,1197.0,0.50,593,1427.0,0
272,444.0,1202.0,1175.0,1542972.0,1189.0,0.990,514,1426.0,0
273,436.0,1088.0,1180.0,1561446.0,1193.0,0.50,601,1429.0,0
274,436.0,1152.0,1165.0,1576943.0,1196.0,1.010,653,1416.0,0
275,444.0,1128.0,1180.0,1583542.0,1210.0,0.8100000000000001,623,1449.0,0
276,441.0,1082.0,1184.0,1590107.0,1190.0,0.850,494,1430.0,0
277,438.0,1168.0,1181.0,1573102.0,1178.0,0.730,612,1420.0,0
278,446.0,1206.0,1180.0,1565664.0,1186.0,0.50,541,1440.0,0
279,450.0,1131.0,1185.0,1563461.0,1221.0,0.710,605,1436.0,0
280,438.0,1116.0,1205.0,1563477.0,1208.0,1.050,615,1416.0,0
281,446.0,1103.0,1205.0,1555788.0,1211.0,0.6899999999999999,552,1427.0,0
282,453.0,1081.0,1203.0,1579045.0,1218.0,0.630,662,1433.0,0
283,454.0,1080.0,1223.0,1595225.0,1207.0,0.90,627,1430.0,0
284,444.0,1078.0,1227.0,1592448.0,1218.0,0.830,588,1425.0,0
285,472.0,1167.0,1232.0,1610790.0,1232.0,1.50,609,1449.0,0
286,460.0,1080.0,1239.0,1622663.0,1224.0,0.570,544,1440.0,0
287,461.0,1077.0,1249.0,1638949.0,1252.0,1.070,607,1453.0,0
288,464.0,1086.0,1248.0,1622144.0,1241.0,0.630,560,1457.0,0
289,467.0,1131.0,1263.0,1625624.0,1274.0,0.720,585,1458.0,0
290,462.0,1177.0,1266.0,1641418.0,1250.0,0.6899999999999999,563,1454.0,0
291,477.0,1115.0,1275.0,1644196.0,1272.0,0.910,504,1463.0,0
292,475.0,1167.0,1273.0,1658311.0,1268.0,1.130,612,1464.0,0
293,476.0,1163.0,1297.0,1643732.0,1278.0,0.960,538,1469.0,0
294,480.0,1180.0,1313.0,1654646.0,1274.0,0.820,548,1458.0,0
295,489.0,1191.0,1333.0,1680637.0,1300.0,0.830,644,1472.0,0
296,496.0,1091.0,1357.0,1690375.0,1315.0,0.880,587,1498.0,0
297,482.0,1104.0,1364.0,1710096.0,1306.0,0.540,509,1494.0,0
298,509.0,1082.0,1374.0,1716571.0,1319.0,0.390,619,1519.0,0
299,517.0,1102.0,1388.0,1735036.0,1354.0,0.480,568,1533.0,0
300,504.0,1092.0,1404.0,1735148.0,1363.0,0.770,667,1526.0,0
301,522.0,1143.0,1424.0,1763602.0,1375.0,0.9399999999999999,559,1543.0,0
302,542.0,1159.0,1436.0,1772306.0,1410.0,0.520,536,1593.0,0
303,555.0,1189.0,1483.0,1803922.0,1469.0,0.860,597,1602.0,0
304,565.0,1190.0,1476.0,1857207.0,1477.0,0.770,556,1627.0,0
305,557.0,1139.0,1507.0,1868449.0,1464.0,0.720,562,1613.0,0
306,569.0,1130.0,1524.0,1897621.0,1482.0,0.570,584,1634.0,0
307,574.0,1124.0,1560.0,1902667.0,1497.0,0.820,577,1650.0,0
308,567.0,1105.0,1581.0,1923225.0,1512.0,0.760,527,1656.0,0
309,588.0,1122.0,1612.0,1935219.0,1570.0,1.130,574,1690.0,0
310,595.0,1129.0,1637.0,1989699.0,1571.0,0.660,570,1700.0,0
311,594.0,1123.0,1662.0,1997489.0,1558.0,1.220,513,1710.0,0
312,619.0,1116.0,1663.0,2033637.0,1608.0,0.8100000000000001,528,1741.0,0
313,607.0,1181.0,1705.0,2057157.0,1616.0,0.830,530,1738.0,0
314,639.0,1152.0,1716.0,2072807.0,1668.0,1.210,635,1774.0,0
315,642.0,1163.0,1732.0,2080455.0,1696.0,1.320,590,1795.0,0
316,672.0,1135.0,1770.0,2101434.0,1722.0,0.450,531,1838.0,0
317,663.0,1151.0,1777.0,2132758.0,1764.0,1.090,568,1834.0,0
318,683.0,1171.0,1800.0,2175445.0,1757.0,0.630,606,1860.0,0
319,699.0,1169.0,1821.0,2206521.0,1768.0,0.790,573,1895.0,0
320,695.0,1157.0,1831.0,2237790.0,1808.0,0.710,546,1897.0,0
321,692.0,1082.0,1884.0,2235158.0,1796.0,0.660,562,1919.0,0
322,708.0,1079.0,1926.0,2263403.0,1811.0,0.970,537,1961.0,0
323,711.0,1128.0,1970.0,2291181.0,1840.0,0.770,587,1962.0,0
324,716.0,1101.0,2016.0,2327847.0,1867.0,0.350,562,1991.0,0
325,735.0,1161.0,2022.0,2375346.0,1900.0,0.9399999999999999,584,2018.0,0
326,749.0,1212.0,2049.0,2444891.0,1945.0,0.670,601,2055.0,0
327,751.0,1152.0,2070.0,2458661.0,1964.0,0.610,589,2059.0,0
328,769.0,1154.0,2112.0,2472030.0,1979.0,0.590,642,2108.0,0
329,790.0,1139.0,2155.0,2540705.0,2006.0,0.60,518,2123.0,0
330,794.0,1152.0,2183.0,2566126.0,2043.0,0.910,607,2154.0,0
331,794.0,1126.0,2205.0,2587897.0,2056.0,0.640,548,2170.0,0
332,793.0,1143.0,2263.0,2611646.0,2088.0,0.680,665,2197.0,0
333,822.0,1214.0,2359.0,2646612.0,2130.0,0.60,629,2261.0,0
334,843.0,1172.0,2359.0,2742511.0,2184.0,1.530,584,2283.0,0
335,864.0,1125.0,2403.0,2760862.0,2222.0,0.680,579,2338.0,0
336,876.0,1094.0,2423.0,2779362.0,2240.0,0.650,601,2381.0,0
337,887.0,1201.0,2483.0,2833357.0,2264.0,0.680,637,2405.0,0
338,879.0,1145.0,2485.0,2871957.0,2284.0,0.640,602,2414.0,0
339,908.0,1211.0,2527.0,2910677.0,2306.0,1.010,563,2451.0,0
340,915.0,1158.0,2563.0,2930457.0,2339.0,1.210,608,2489.0,0
341,926.0,1228.0,2584.0,2952482.0,2373.0,0.540,567,2498.0,0
342,931.0,1234.0,2641.0,2971062.0,2389.0,1.260,603,2520.0,0
