Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,Label
33,1.010,621,2371.0,1232.0,7451.0,9189975.0,1.010,621,0
34,0.590,651,2368.0,1219.0,7358.0,9091551.0,0.590,651,0
35,0.70,610,2303.0,1241.0,7273.0,9031433.0,0.70,610,0
36,0.870,646,2308.0,1220.0,7208.0,8962214.0,0.870,646,0
37,0.980,646,2280.0,1211.0,7119.0,8857106.0,0.980,646,0
38,0.770,649,2245.0,1209.0,7028.0,8714915.0,0.770,649,0
39,0.850,666,2255.0,1215.0,6958.0,8676642.0,0.850,666,0
40,0.840,672,2203.0,1212.0,6916.0,8631124.0,0.840,672,0
41,0.650,632,2207.0,1232.0,6826.0,8522420.0,0.650,632,0
42,1.20,657,2170.0,1219.0,6778.0,8443162.0,1.20,657,0
43,0.730,656,2121.0,1222.0,6656.0,8360540.0,0.730,656,0
44,0.850,640,2089.0,1207.0,6566.0,8210910.0,0.850,640,0
45,0.720,659,2090.0,1185.0,6496.0,8073215.0,0.720,659,0
46,1.310,645,2063.0,1193.0,6363.0,7996103.0,1.310,645,0
47,0.910,674,2048.0,1182.0,6356.0,7920055.0,0.910,674,0
48,0.6899999999999999,582,1997.0,1199.0,6215.0,7852170.0,0.6899999999999999,582,0
49,0.760,605,2011.0,1226.0,6152.0,7780997.0,0.760,605,0
50,0.710,640,1968.0,1217.0,6065.0,7701303.0,0.710,640,0
51,0.920,663,1932.0,1175.0,6001.0,7559560.0,0.920,663,0
52,0.920,659,1883.0,1163.0,5916.0,7481698.0,0.920,659,0
53,0.60,596,1879.0,1185.0,5876.0,7402609.0,0.60,596,0
54,0.670,621,1846.0,1191.0,5750.0,7311083.0,0.670,621,0
55,0.80,620,1851.0,1189.0,5654.0,7186961.0,0.80,620,0
56,0.760,661,1791.0,1215.0,5605.0,8188562.0,0.760,661,0
57,0.710,625,1776.0,1235.0,5559.0,7063910.0,0.710,625,0
58,0.680,613,1766.0,1230.0,5526.0,6929598.0,0.680,613,0
59,0.720,636,1782.0,1189.0,5434.0,6903425.0,0.720,636,0
60,0.740,643,1755.0,1242.0,5369.0,6838587.0,0.740,643,0
61,0.790,639,1747.0,1176.0,5308.0,6756935.0,0.790,639,0
62,0.730,536,1694.0,1217.0,5251.0,6702119.0,0.730,536,0
63,0.780,598,1721.0,1186.0,5218.0,6572848.0,0.780,598,0
64,1.060,617,1688.0,1215.0,5116.0,6511134.0,1.060,617,0
65,0.710,572,1654.0,1179.0,5092.0,6399268.0,0.710,572,0
66,0.710,622,1646.0,1185.0,5047.0,6455025.0,0.710,622,0
67,0.750,573,1632.0,1185.0,5004.0,6385534.0,0.750,573,0
68,0.720,676,1616.0,1183.0,4954.0,6333186.0,0.720,676,0
69,0.920,665,1608.0,1200.0,4912.0,6289009.0,0.920,665,0
70,0.8100000000000001,616,1582.0,1179.0,4871.0,6170591.0,0.8100000000000001,616,0
71,1.250,627,1575.0,1185.0,4795.0,6057373.0,1.250,627,0
72,0.760,572,1582.0,1191.0,4702.0,6027140.0,0.760,572,0
73,0.580,597,1578.0,1192.0,4647.0,5985660.0,0.580,597,0
74,0.530,609,1548.0,1198.0,4606.0,5960688.0,0.530,609,0
75,1.220,586,1545.0,1176.0,4521.0,5872885.0,1.220,586,0
76,0.80,635,1520.0,1169.0,4494.0,5777522.0,0.80,635,0
77,0.790,579,1492.0,1185.0,4410.0,5727676.0,0.790,579,0
78,0.840,588,1486.0,1186.0,4355.0,5640950.0,0.840,588,0
79,0.570,603,1472.0,1178.0,4346.0,5595529.0,0.570,603,0
80,1.180,660,1450.0,1159.0,4341.0,5582415.0,1.180,660,0
81,0.820,652,1452.0,1165.0,4275.0,5523065.0,0.820,652,0
82,0.470,617,1422.0,1221.0,4197.0,5381275.0,0.470,617,0
83,1.090,592,1426.0,1187.0,4142.0,5343445.0,1.090,592,0
84,0.830,616,1421.0,1233.0,4071.0,5314067.0,0.830,616,0
85,0.870,577,1383.0,1198.0,4031.0,5254362.0,0.870,577,0
86,0.790,541,1362.0,1168.0,3993.0,5166554.0,0.790,541,0
87,0.710,621,1363.0,1175.0,3956.0,5080792.0,0.710,621,0
88,0.740,609,1323.0,1198.0,3883.0,5008683.0,0.740,609,0
89,0.620,582,1330.0,1178.0,3820.0,4919435.0,0.620,582,0
90,0.720,551,1310.0,1221.0,3782.0,4852848.0,0.720,551,0
91,0.740,610,1319.0,1191.0,3783.0,4853800.0,0.740,610,0
92,0.850,631,1284.0,1162.0,3710.0,4826917.0,0.850,631,0
93,0.590,572,1271.0,1201.0,3672.0,4806141.0,0.590,572,0
94,0.820,639,1263.0,1161.0,3583.0,4732030.0,0.820,639,0
95,0.710,588,1233.0,1170.0,3575.0,4698622.0,0.710,588,0
96,0.620,548,1218.0,1192.0,3534.0,4641657.0,0.620,548,0
97,1.110,579,1212.0,1193.0,3545.0,4594068.0,1.110,579,0
98,0.790,569,1221.0,1155.0,3505.0,4543736.0,0.790,569,0
99,0.620,612,1195.0,1163.0,3469.0,4500897.0,0.620,612,0
100,1.190,570,1184.0,1161.0,3426.0,4489668.0,1.190,570,0
101,0.960,573,1166.0,1160.0,3385.0,4430806.0,0.960,573,0
102,0.830,603,1162.0,1148.0,3349.0,4372865.0,0.830,603,0
103,0.750,681,1154.0,1133.0,3329.0,4324367.0,0.750,681,0
104,0.580,589,1117.0,1161.0,3280.0,4261504.0,0.580,589,0
105,0.780,611,1115.0,1157.0,3245.0,4288081.0,0.780,611,0
106,0.660,576,1117.0,1146.0,3177.0,4221110.0,0.660,576,0
107,0.830,568,1095.0,1154.0,3136.0,4128151.0,0.830,568,0
108,0.60,633,1119.0,1191.0,3088.0,4093418.0,0.60,633,0
109,0.6899999999999999,618,1086.0,1147.0,3053.0,4070722.0,0.6899999999999999,618,0
110,0.6899999999999999,550,1066.0,1156.0,3015.0,4021519.0,0.6899999999999999,550,0
111,0.680,594,1054.0,1142.0,2997.0,3958544.0,0.680,594,0
112,0.760,654,1067.0,1142.0,2981.0,3883884.0,0.760,654,0
113,0.640,562,1041.0,1183.0,2947.0,3864979.0,0.640,562,0
114,0.6899999999999999,590,1029.0,1200.0,2904.0,3821481.0,0.6899999999999999,590,0
115,0.490,565,1029.0,1144.0,2910.0,3801435.0,0.490,565,0
116,0.650,603,1018.0,1112.0,2844.0,3770114.0,0.650,603,0
117,0.880,595,1018.0,1137.0,2835.0,3732657.0,0.880,595,0
118,1.070,529,989.0,1160.0,2812.0,3707031.0,1.070,529,1
119,0.830,622,1007.0,1144.0,2785.0,3659773.0,0.830,622,1
120,0.670,609,981.0,1175.0,2768.0,3658012.0,0.670,609,1
121,1.070,608,978.0,1180.0,2720.0,3581172.0,1.070,608,1
122,0.630,603,975.0,1149.0,2685.0,3562656.0,0.630,603,1
123,0.510,621,958.0,1128.0,2648.0,3497225.0,0.510,621,1
124,0.770,595,942.0,1185.0,2646.0,3495540.0,0.770,595,1
125,0.570,611,943.0,1167.0,2595.0,3482711.0,0.570,611,1
126,0.840,637,935.0,1109.0,2563.0,3459666.0,0.840,637,1
127,0.660,595,921.0,1158.0,2529.0,3382386.0,0.660,595,1
128,0.750,632,901.0,1146.0,2520.0,3318376.0,0.750,632,1
129,0.790,593,892.0,1137.0,2505.0,3316941.0,0.790,593,1
130,0.990,548,896.0,1134.0,2492.0,3310901.0,0.990,548,1
131,0.650,599,889.0,1149.0,2472.0,3297014.0,0.650,599,2
132,0.610,572,880.0,1122.0,2458.0,3262075.0,0.610,572,0
133,1.030,586,883.0,1165.0,2436.0,3273539.0,1.030,586,0
134,0.670,567,892.0,1155.0,2426.0,3271942.0,0.670,567,0
135,0.730,533,907.0,1122.0,2411.0,3242915.0,0.730,533,0
136,0.580,593,887.0,1119.0,2366.0,3243230.0,0.580,593,0
137,0.650,548,865.0,1080.0,2320.0,3180901.0,0.650,548,0
138,0.770,561,834.0,1104.0,2330.0,3147068.0,0.770,561,0
139,0.870,565,836.0,1157.0,2315.0,3086265.0,0.870,565,0
140,0.960,585,830.0,1147.0,2283.0,3065966.0,0.960,585,0
141,0.740,601,848.0,1160.0,2246.0,3037222.0,0.740,601,0
142,0.640,581,823.0,1134.0,2254.0,3039539.0,0.640,581,0
143,1.320,585,821.0,1122.0,2233.0,3025960.0,1.320,585,0
144,1.050,591,817.0,1165.0,2201.0,3000222.0,1.050,591,0
145,0.640,629,797.0,1099.0,2187.0,2945405.0,0.640,629,0
146,0.670,577,786.0,1095.0,2170.0,2939533.0,0.670,577,0
147,0.640,557,791.0,1115.0,2148.0,2873146.0,0.640,557,0
148,1.410,603,783.0,1116.0,2129.0,2839081.0,1.410,603,0
149,0.670,618,761.0,1121.0,2114.0,2807670.0,0.670,618,0
150,0.760,571,761.0,1184.0,2111.0,2754500.0,0.760,571,0
151,0.630,666,767.0,1168.0,2091.0,2786812.0,0.630,666,0
152,0.90,562,756.0,1212.0,2080.0,2770655.0,0.90,562,0
153,1.090,610,748.0,1109.0,2068.0,2741329.0,1.090,610,0
154,0.650,550,751.0,1130.0,2047.0,2754633.0,0.650,550,0
155,0.960,597,736.0,1145.0,2016.0,2703179.0,0.960,597,0
156,0.740,624,744.0,1153.0,1983.0,2660783.0,0.740,624,0
157,0.970,543,735.0,1157.0,1981.0,2632331.0,0.970,543,0
158,1.230,593,725.0,1184.0,1969.0,2624570.0,1.230,593,0
159,0.550,592,719.0,1092.0,1956.0,2587645.0,0.550,592,0
160,0.580,618,713.0,1119.0,1943.0,2607015.0,0.580,618,0
161,1.080,566,714.0,1141.0,1931.0,2606700.0,1.080,566,0
162,0.920,576,697.0,1139.0,1921.0,2581090.0,0.920,576,0
163,0.840,590,699.0,1121.0,1925.0,2537247.0,0.840,590,0
164,0.730,600,686.0,1114.0,1871.0,2507707.0,0.730,600,0
165,0.590,539,698.0,1110.0,1848.0,2494372.0,0.590,539,0
166,0.930,574,683.0,1149.0,1850.0,2454384.0,0.930,574,0
167,0.920,607,693.0,1090.0,1840.0,2430786.0,0.920,607,0
168,0.730,625,686.0,1080.0,1817.0,2429859.0,0.730,625,0
169,0.720,617,662.0,1183.0,1796.0,2403849.0,0.720,617,0
170,0.620,589,672.0,1126.0,1810.0,2421827.0,0.620,589,0
171,0.760,536,673.0,1154.0,1785.0,2428599.0,0.760,536,0
172,0.930,561,646.0,1113.0,1764.0,2410712.0,0.930,561,0
173,0.570,604,657.0,1175.0,1765.0,2398523.0,0.570,604,0
174,0.6899999999999999,595,655.0,1166.0,1734.0,2346716.0,0.6899999999999999,595,0
175,0.640,615,642.0,1163.0,1732.0,2288533.0,0.640,615,0
176,1.020,556,627.0,1116.0,1709.0,2280505.0,1.020,556,0
177,0.570,520,632.0,1142.0,1710.0,2222382.0,0.570,520,0
178,0.530,552,624.0,1119.0,1685.0,2222521.0,0.530,552,0
179,0.620,572,617.0,1144.0,1666.0,2215318.0,0.620,572,0
180,0.620,589,611.0,1134.0,1662.0,2192192.0,0.620,589,0
181,0.610,572,613.0,1083.0,1636.0,2176702.0,0.610,572,0
182,1.090,575,599.0,1111.0,1640.0,2164707.0,1.090,575,0
183,0.840,561,596.0,1096.0,1628.0,2129758.0,0.840,561,0
184,0.650,608,589.0,1134.0,1610.0,2146072.0,0.650,608,0
185,0.470,639,603.0,1150.0,1600.0,2183643.0,0.470,639,0
186,0.420,538,594.0,1161.0,1594.0,2178274.0,0.420,538,0
187,1.220,673,588.0,1152.0,1581.0,2121497.0,1.220,673,0
188,0.780,642,590.0,1127.0,1568.0,2092788.0,0.780,642,0
189,0.510,573,573.0,1105.0,1562.0,2063900.0,0.510,573,0
190,0.720,583,566.0,1108.0,1565.0,2069803.0,0.720,583,0
191,0.430,593,554.0,1151.0,1553.0,2072053.0,0.430,593,0
192,0.770,584,565.0,1147.0,1547.0,2064192.0,0.770,584,0
193,0.990,596,553.0,1270.0,1536.0,2045580.0,0.990,596,0
194,1.450,604,555.0,1144.0,1528.0,2025901.0,1.450,604,0
195,0.790,586,547.0,1127.0,1513.0,1988658.0,0.790,586,0
196,0.470,534,535.0,1118.0,1492.0,1974060.0,0.470,534,0
197,0.660,585,551.0,1118.0,1482.0,1965201.0,0.660,585,0
198,1.280,595,550.0,1123.0,1479.0,1972813.0,1.280,595,0
199,1.440,619,542.0,1107.0,1474.0,1967155.0,1.440,619,0
200,0.8100000000000001,591,542.0,1075.0,1454.0,1962852.0,0.8100000000000001,591,0
201,1.120,539,545.0,1157.0,1453.0,1968608.0,1.120,539,0
202,1.010,584,537.0,1127.0,1442.0,1940199.0,1.010,584,0
203,0.80,585,530.0,1173.0,1427.0,1921676.0,0.80,585,0
204,0.80,612,537.0,1099.0,1399.0,1914226.0,0.80,612,0
205,0.540,632,530.0,1061.0,1413.0,1920718.0,0.540,632,0
206,1.90,622,530.0,1159.0,1414.0,1919104.0,1.90,622,0
207,0.520,595,526.0,1100.0,1400.0,1905804.0,0.520,595,0
208,1.090,587,530.0,1090.0,1392.0,1898353.0,1.090,587,0
209,1.260,605,525.0,1083.0,1380.0,1862260.0,1.260,605,0
210,0.860,605,519.0,1094.0,1379.0,1870450.0,0.860,605,0
211,0.630,581,511.0,1126.0,1373.0,1882930.0,0.630,581,0
212,0.570,595,521.0,1109.0,1378.0,1849771.0,0.570,595,0
213,0.450,607,516.0,1098.0,1356.0,1844560.0,0.450,607,0
214,1.630,545,511.0,1133.0,1362.0,1847226.0,1.630,545,0
215,0.580,565,508.0,1102.0,1343.0,1838122.0,0.580,565,0
216,1.180,666,493.0,1135.0,1332.0,1824553.0,1.180,666,0
217,0.420,557,502.0,1116.0,1321.0,1776866.0,0.420,557,0
218,1.140,598,490.0,1125.0,1321.0,1789415.0,1.140,598,0
219,0.680,555,490.0,1111.0,1314.0,1806713.0,0.680,555,0
220,0.580,595,486.0,1127.0,1316.0,1794396.0,0.580,595,0
221,0.570,620,487.0,1075.0,1304.0,1769740.0,0.570,620,0
222,0.660,579,482.0,1114.0,1289.0,1763246.0,0.660,579,0
223,0.890,632,494.0,1095.0,1299.0,1748491.0,0.890,632,0
224,0.80,661,477.0,1104.0,1279.0,1726434.0,0.80,661,0
225,0.90,594,470.0,1118.0,1292.0,1711729.0,0.90,594,0
226,0.720,563,475.0,1125.0,1278.0,1721143.0,0.720,563,0
227,0.860,514,470.0,1084.0,1255.0,1747454.0,0.860,514,0
228,1.190,578,478.0,1095.0,1258.0,1743589.0,1.190,578,0
229,1.10,623,470.0,1166.0,1253.0,1716585.0,1.10,623,0
230,0.50,626,477.0,1091.0,1253.0,1709749.0,0.50,626,0
231,1.420,617,470.0,1155.0,1238.0,1691036.0,1.420,617,0
232,0.650,597,466.0,1174.0,1239.0,1688256.0,0.650,597,0
233,0.670,522,481.0,1125.0,1239.0,1694669.0,0.670,522,0
234,1.020,602,471.0,1101.0,1240.0,1686494.0,1.020,602,0
235,0.830,590,473.0,1170.0,1234.0,1693141.0,0.830,590,0
236,1.410,646,470.0,1130.0,1215.0,1690576.0,1.410,646,0
237,0.80,640,464.0,1110.0,1216.0,1676844.0,0.80,640,0
238,0.880,604,467.0,1142.0,1217.0,1660675.0,0.880,604,0
239,0.730,524,462.0,1186.0,1217.0,1685871.0,0.730,524,0
240,1.010,565,462.0,1117.0,1200.0,1652585.0,1.010,565,0
241,1.430,559,467.0,1115.0,1199.0,1664942.0,1.430,559,0
242,0.950,561,460.0,1119.0,1209.0,1664905.0,0.950,561,0
243,0.650,595,459.0,1139.0,1207.0,1694157.0,0.650,595,0
244,0.80,622,461.0,1090.0,1188.0,1712675.0,0.80,622,0
245,0.750,545,460.0,1161.0,1189.0,1705812.0,0.750,545,0
246,0.770,652,462.0,1128.0,1185.0,1663888.0,0.770,652,0
247,0.660,567,444.0,1165.0,1189.0,1667704.0,0.660,567,0
248,0.670,546,459.0,1070.0,1199.0,1643060.0,0.670,546,0
249,1.730,532,455.0,1079.0,1191.0,1651743.0,1.730,532,0
250,0.630,609,464.0,1106.0,1184.0,1663669.0,0.630,609,0
251,0.280,599,468.0,1107.0,1188.0,1679992.0,0.280,599,0
252,0.370,587,462.0,1155.0,1186.0,1689422.0,0.370,587,0
253,0.90,549,475.0,1055.0,1184.0,1677283.0,0.90,549,0
254,0.670,516,456.0,1048.0,1185.0,1634040.0,0.670,516,0
255,1.110,630,453.0,1092.0,1178.0,1616539.0,1.110,630,0
256,0.660,707,460.0,1159.0,1176.0,1626160.0,0.660,707,0
257,0.910,541,446.0,1098.0,1164.0,1637270.0,0.910,541,0
258,0.780,574,455.0,1104.0,1166.0,1587439.0,0.780,574,0
259,0.540,543,442.0,1097.0,1170.0,1598762.0,0.540,543,0
260,1.420,613,450.0,1151.0,1179.0,1595152.0,1.420,613,0
261,0.790,633,450.0,996.0,1169.0,1583901.0,0.790,633,0
262,0.520,655,443.0,1123.0,1166.0,1587309.0,0.520,655,0
263,0.490,550,463.0,1166.0,1164.0,1592154.0,0.490,550,0
264,0.90,560,444.0,1062.0,1167.0,1622138.0,0.90,560,0
265,0.90,589,446.0,1072.0,1162.0,1610096.0,0.90,589,0
266,0.790,632,441.0,1144.0,1155.0,1573514.0,0.790,632,0
267,0.670,554,452.0,1108.0,1154.0,1583411.0,0.670,554,0
268,0.590,579,445.0,1085.0,1153.0,1572915.0,0.590,579,0
269,0.9399999999999999,607,446.0,1115.0,1161.0,1583665.0,0.9399999999999999,607,0
270,0.870,596,445.0,1116.0,1163.0,1587705.0,0.870,596,0
271,0.50,593,437.0,1112.0,1160.0,1566824.0,0.50,593,0
272,0.990,514,444.0,1202.0,1175.0,1542972.0,0.990,514,0
273,0.50,601,436.0,1088.0,1180.0,1561446.0,0.50,601,0
274,1.010,653,436.0,1152.0,1165.0,1576943.0,1.010,653,0
275,0.8100000000000001,623,444.0,1128.0,1180.0,1583542.0,0.8100000000000001,623,0
276,0.850,494,441.0,1082.0,1184.0,1590107.0,0.850,494,0
277,0.730,612,438.0,1168.0,1181.0,1573102.0,0.730,612,0
278,0.50,541,446.0,1206.0,1180.0,1565664.0,0.50,541,0
279,0.710,605,450.0,1131.0,1185.0,1563461.0,0.710,605,0
280,1.050,615,438.0,1116.0,1205.0,1563477.0,1.050,615,0
281,0.6899999999999999,552,446.0,1103.0,1205.0,1555788.0,0.6899999999999999,552,0
282,0.630,662,453.0,1081.0,1203.0,1579045.0,0.630,662,0
283,0.90,627,454.0,1080.0,1223.0,1595225.0,0.90,627,0
284,0.830,588,444.0,1078.0,1227.0,1592448.0,0.830,588,0
285,1.50,609,472.0,1167.0,1232.0,1610790.0,1.50,609,0
286,0.570,544,460.0,1080.0,1239.0,1622663.0,0.570,544,0
287,1.070,607,461.0,1077.0,1249.0,1638949.0,1.070,607,0
288,0.630,560,464.0,1086.0,1248.0,1622144.0,0.630,560,0
289,0.720,585,467.0,1131.0,1263.0,1625624.0,0.720,585,0
290,0.6899999999999999,563,462.0,1177.0,1266.0,1641418.0,0.6899999999999999,563,0
291,0.910,504,477.0,1115.0,1275.0,1644196.0,0.910,504,0
292,1.130,612,475.0,1167.0,1273.0,1658311.0,1.130,612,0
293,0.960,538,476.0,1163.0,1297.0,1643732.0,0.960,538,0
294,0.820,548,480.0,1180.0,1313.0,1654646.0,0.820,548,0
295,0.830,644,489.0,1191.0,1333.0,1680637.0,0.830,644,0
296,0.880,587,496.0,1091.0,1357.0,1690375.0,0.880,587,0
297,0.540,509,482.0,1104.0,1364.0,1710096.0,0.540,509,0
298,0.390,619,509.0,1082.0,1374.0,1716571.0,0.390,619,0
299,0.480,568,517.0,1102.0,1388.0,1735036.0,0.480,568,0
300,0.770,667,504.0,1092.0,1404.0,1735148.0,0.770,667,0
301,0.9399999999999999,559,522.0,1143.0,1424.0,1763602.0,0.9399999999999999,559,0
302,0.520,536,542.0,1159.0,1436.0,1772306.0,0.520,536,0
303,0.860,597,555.0,1189.0,1483.0,1803922.0,0.860,597,0
304,0.770,556,565.0,1190.0,1476.0,1857207.0,0.770,556,0
305,0.720,562,557.0,1139.0,1507.0,1868449.0,0.720,562,0
306,0.570,584,569.0,1130.0,1524.0,1897621.0,0.570,584,0
307,0.820,577,574.0,1124.0,1560.0,1902667.0,0.820,577,0
308,0.760,527,567.0,1105.0,1581.0,1923225.0,0.760,527,0
309,1.130,574,588.0,1122.0,1612.0,1935219.0,1.130,574,0
310,0.660,570,595.0,1129.0,1637.0,1989699.0,0.660,570,0
311,1.220,513,594.0,1123.0,1662.0,1997489.0,1.220,513,0
312,0.8100000000000001,528,619.0,1116.0,1663.0,2033637.0,0.8100000000000001,528,0
313,0.830,530,607.0,1181.0,1705.0,2057157.0,0.830,530,0
314,1.210,635,639.0,1152.0,1716.0,2072807.0,1.210,635,0
315,1.320,590,642.0,1163.0,1732.0,2080455.0,1.320,590,0
316,0.450,531,672.0,1135.0,1770.0,2101434.0,0.450,531,0
317,1.090,568,663.0,1151.0,1777.0,2132758.0,1.090,568,0
318,0.630,606,683.0,1171.0,1800.0,2175445.0,0.630,606,0
319,0.790,573,699.0,1169.0,1821.0,2206521.0,0.790,573,0
320,0.710,546,695.0,1157.0,1831.0,2237790.0,0.710,546,0
321,0.660,562,692.0,1082.0,1884.0,2235158.0,0.660,562,0
322,0.970,537,708.0,1079.0,1926.0,2263403.0,0.970,537,0
323,0.770,587,711.0,1128.0,1970.0,2291181.0,0.770,587,0
324,0.350,562,716.0,1101.0,2016.0,2327847.0,0.350,562,0
325,0.9399999999999999,584,735.0,1161.0,2022.0,2375346.0,0.9399999999999999,584,0
326,0.670,601,749.0,1212.0,2049.0,2444891.0,0.670,601,0
327,0.610,589,751.0,1152.0,2070.0,2458661.0,0.610,589,0
328,0.590,642,769.0,1154.0,2112.0,2472030.0,0.590,642,0
329,0.60,518,790.0,1139.0,2155.0,2540705.0,0.60,518,0
330,0.910,607,794.0,1152.0,2183.0,2566126.0,0.910,607,0
331,0.640,548,794.0,1126.0,2205.0,2587897.0,0.640,548,0
332,0.680,665,793.0,1143.0,2263.0,2611646.0,0.680,665,0
333,0.60,629,822.0,1214.0,2359.0,2646612.0,0.60,629,0
334,1.530,584,843.0,1172.0,2359.0,2742511.0,1.530,584,0
335,0.680,579,864.0,1125.0,2403.0,2760862.0,0.680,579,0
336,0.650,601,876.0,1094.0,2423.0,2779362.0,0.650,601,0
337,0.680,637,887.0,1201.0,2483.0,2833357.0,0.680,637,0
338,0.640,602,879.0,1145.0,2485.0,2871957.0,0.640,602,0
339,1.010,563,908.0,1211.0,2527.0,2910677.0,1.010,563,0
340,1.210,608,915.0,1158.0,2563.0,2930457.0,1.210,608,0
341,0.540,567,926.0,1228.0,2584.0,2952482.0,0.540,567,0
342,1.260,603,931.0,1234.0,2641.0,2971062.0,1.260,603,0
343,0.990,646,966.0,1180.0,2673.0,3042889.0,0.990,646,0
344,0.680,569,958.0,1200.0,2704.0,3084396.0,0.680,569,0
345,0.770,662,964.0,1211.0,2725.0,3121079.0,0.770,662,0
346,0.720,559,964.0,1159.0,2782.0,3165048.0,0.720,559,0
347,1.170,631,980.0,1154.0,2802.0,3183921.0,1.170,631,0
348,0.830,679,1021.0,1199.0,2865.0,3244460.0,0.830,679,0
349,0.70,567,1024.0,1214.0,2904.0,3272244.0,0.70,567,0
350,1.140,623,1019.0,1177.0,2934.0,3323108.0,1.140,623,0
351,0.890,652,1044.0,1110.0,2971.0,3321404.0,0.890,652,0
352,0.870,605,1059.0,1164.0,3011.0,3411060.0,0.870,605,0
353,1.160,576,1094.0,1165.0,3095.0,3470921.0,1.160,576,0
354,1.070,619,1098.0,1209.0,3115.0,3536379.0,1.070,619,0
355,0.630,616,1102.0,1206.0,3165.0,3592182.0,0.630,616,0
356,1.010,666,1130.0,1183.0,3215.0,3611730.0,1.010,666,0
357,0.620,603,1153.0,1162.0,3235.0,3665413.0,0.620,603,0
358,0.790,604,1147.0,1203.0,3271.0,3719945.0,0.790,604,0
359,0.980,620,1164.0,1197.0,3356.0,3793907.0,0.980,620,0
360,0.670,612,1183.0,1175.0,3400.0,3857218.0,0.670,612,0
361,1.260,632,1186.0,1156.0,3437.0,3900134.0,1.260,632,0
362,0.80,629,1193.0,1216.0,3501.0,3966295.0,0.80,629,0
363,0.780,640,1270.0,1218.0,3748.0,4043440.0,0.780,640,0
364,0.520,589,1294.0,1222.0,3807.0,4283461.0,0.520,589,0
365,0.920,615,1318.0,1218.0,3844.0,4297421.0,0.920,615,0
366,0.8100000000000001,615,1323.0,1175.0,3841.0,4351835.0,0.8100000000000001,615,0
367,0.60,620,1338.0,1153.0,3892.0,4363814.0,0.60,620,0
368,1.070,624,1347.0,1213.0,3946.0,4425333.0,1.070,624,0
369,0.880,575,1347.0,1184.0,4017.0,4463423.0,0.880,575,0
370,0.6899999999999999,542,1332.0,1221.0,4035.0,4499453.0,0.6899999999999999,542,0
371,0.680,579,1384.0,1254.0,4071.0,4532209.0,0.680,579,0
372,0.670,617,1431.0,1218.0,4149.0,4579835.0,0.670,617,0
373,1.130,651,1418.0,1219.0,4255.0,4663936.0,1.130,651,0
374,0.790,614,1454.0,1232.0,4285.0,4787597.0,0.790,614,0
375,0.770,618,1483.0,1284.0,4298.0,4821683.0,0.770,618,0
