Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,Label,Score
192,0.77,584,565.0,1147.0,1547.0,2064192.0,0.77,584,0,0.0
193,0.99,596,553.0,1270.0,1536.0,2045580.0,0.99,596,0,0.0
194,1.45,604,555.0,1144.0,1528.0,2025901.0,1.45,604,0,0.0
195,0.79,586,547.0,1127.0,1513.0,1988658.0,0.79,586,0,0.733585620841
196,0.47,534,535.0,1118.0,1492.0,1974060.0,0.47,534,0,0.0
197,0.66,585,551.0,1118.0,1482.0,1965201.0,0.66,585,0,0.0
198,1.28,595,550.0,1123.0,1479.0,1972813.0,1.28,595,0,0.0
199,1.44,619,542.0,1107.0,1474.0,1967155.0,1.44,619,0,0.0
200,0.81,591,542.0,1075.0,1454.0,1962852.0,0.81,591,0,0.0
201,1.12,539,545.0,1157.0,1453.0,1968608.0,1.12,539,0,0.0
202,1.01,584,537.0,1127.0,1442.0,1940199.0,1.01,584,0,0.0
203,0.8,585,530.0,1173.0,1427.0,1921676.0,0.8,585,0,0.0
204,0.8,612,537.0,1099.0,1399.0,1914226.0,0.8,612,0,0.0
205,0.54,632,530.0,1061.0,1413.0,1920718.0,0.54,632,0,0.0
206,1.9,622,530.0,1159.0,1414.0,1919104.0,1.9,622,0,0.0
207,0.52,595,526.0,1100.0,1400.0,1905804.0,0.52,595,0,0.0
208,1.09,587,530.0,1090.0,1392.0,1898353.0,1.09,587,0,0.0
209,1.26,605,525.0,1083.0,1380.0,1862260.0,1.26,605,0,0.0
210,0.86,605,519.0,1094.0,1379.0,1870450.0,0.86,605,0,0.0
211,0.63,581,511.0,1126.0,1373.0,1882930.0,0.63,581,0,0.0
212,0.57,595,521.0,1109.0,1378.0,1849771.0,0.57,595,0,0.0
213,0.45,607,516.0,1098.0,1356.0,1844560.0,0.45,607,0,0.0
214,1.63,545,511.0,1133.0,1362.0,1847226.0,1.63,545,0,0.0
215,0.58,565,508.0,1102.0,1343.0,1838122.0,0.58,565,0,0.0
216,1.18,666,493.0,1135.0,1332.0,1824553.0,1.18,666,0,0.0
217,0.42,557,502.0,1116.0,1321.0,1776866.0,0.42,557,0,0.0
218,1.14,598,490.0,1125.0,1321.0,1789415.0,1.14,598,0,0.0
219,0.68,555,490.0,1111.0,1314.0,1806713.0,0.68,555,0,0.0
220,0.58,595,486.0,1127.0,1316.0,1794396.0,0.58,595,0,0.0
221,0.57,620,487.0,1075.0,1304.0,1769740.0,0.57,620,0,0.0
222,0.66,579,482.0,1114.0,1289.0,1763246.0,0.66,579,0,0.0
223,0.89,632,494.0,1095.0,1299.0,1748491.0,0.89,632,0,0.0
224,0.8,661,477.0,1104.0,1279.0,1726434.0,0.8,661,0,0.0
225,0.9,594,470.0,1118.0,1292.0,1711729.0,0.9,594,0,0.0
226,0.72,563,475.0,1125.0,1278.0,1721143.0,0.72,563,0,0.0
227,0.86,514,470.0,1084.0,1255.0,1747454.0,0.86,514,0,0.0
228,1.19,578,478.0,1095.0,1258.0,1743589.0,1.19,578,0,0.0
229,1.1,623,470.0,1166.0,1253.0,1716585.0,1.1,623,0,0.0
230,0.5,626,477.0,1091.0,1253.0,1709749.0,0.5,626,0,0.0
231,1.42,617,470.0,1155.0,1238.0,1691036.0,1.42,617,0,0.0
232,0.65,597,466.0,1174.0,1239.0,1688256.0,0.65,597,0,0.0
233,0.67,522,481.0,1125.0,1239.0,1694669.0,0.67,522,0,0.0
234,1.02,602,471.0,1101.0,1240.0,1686494.0,1.02,602,0,0.0
235,0.83,590,473.0,1170.0,1234.0,1693141.0,0.83,590,0,0.0
236,1.41,646,470.0,1130.0,1215.0,1690576.0,1.41,646,0,0.0
237,0.8,640,464.0,1110.0,1216.0,1676844.0,0.8,640,0,0.0
238,0.88,604,467.0,1142.0,1217.0,1660675.0,0.88,604,0,0.0
239,0.73,524,462.0,1186.0,1217.0,1685871.0,0.73,524,0,0.0
240,1.01,565,462.0,1117.0,1200.0,1652585.0,1.01,565,0,0.0
241,1.43,559,467.0,1115.0,1199.0,1664942.0,1.43,559,0,0.0
242,0.95,561,460.0,1119.0,1209.0,1664905.0,0.95,561,0,0.0
243,0.65,595,459.0,1139.0,1207.0,1694157.0,0.65,595,0,0.0
244,0.8,622,461.0,1090.0,1188.0,1712675.0,0.8,622,0,0.0
245,0.75,545,460.0,1161.0,1189.0,1705812.0,0.75,545,0,0.0
246,0.77,652,462.0,1128.0,1185.0,1663888.0,0.77,652,0,0.0
247,0.66,567,444.0,1165.0,1189.0,1667704.0,0.66,567,0,0.0
248,0.67,546,459.0,1070.0,1199.0,1643060.0,0.67,546,0,0.0
249,1.73,532,455.0,1079.0,1191.0,1651743.0,1.73,532,0,0.0
250,0.63,609,464.0,1106.0,1184.0,1663669.0,0.63,609,0,0.0
251,0.28,599,468.0,1107.0,1188.0,1679992.0,0.28,599,0,0.0
252,0.37,587,462.0,1155.0,1186.0,1689422.0,0.37,587,0,0.0
253,0.9,549,475.0,1055.0,1184.0,1677283.0,0.9,549,0,0.0
254,0.67,516,456.0,1048.0,1185.0,1634040.0,0.67,516,0,0.0
255,1.11,630,453.0,1092.0,1178.0,1616539.0,1.11,630,0,0.0
256,0.66,707,460.0,1159.0,1176.0,1626160.0,0.66,707,0,0.0
257,0.91,541,446.0,1098.0,1164.0,1637270.0,0.91,541,0,0.0
258,0.78,574,455.0,1104.0,1166.0,1587439.0,0.78,574,0,0.0
259,0.54,543,442.0,1097.0,1170.0,1598762.0,0.54,543,0,0.0
260,1.42,613,450.0,1151.0,1179.0,1595152.0,1.42,613,0,0.0
261,0.79,633,450.0,996.0,1169.0,1583901.0,0.79,633,0,0.0
262,0.52,655,443.0,1123.0,1166.0,1587309.0,0.52,655,0,0.0
263,0.49,550,463.0,1166.0,1164.0,1592154.0,0.49,550,0,0.0
264,0.9,560,444.0,1062.0,1167.0,1622138.0,0.9,560,0,0.0
265,0.9,589,446.0,1072.0,1162.0,1610096.0,0.9,589,0,0.0
266,0.79,632,441.0,1144.0,1155.0,1573514.0,0.79,632,0,0.0
267,0.67,554,452.0,1108.0,1154.0,1583411.0,0.67,554,0,0.0
268,0.59,579,445.0,1085.0,1153.0,1572915.0,0.59,579,0,0.0
269,0.94,607,446.0,1115.0,1161.0,1583665.0,0.94,607,0,0.0
270,0.87,596,445.0,1116.0,1163.0,1587705.0,0.87,596,0,0.0
271,0.5,593,437.0,1112.0,1160.0,1566824.0,0.5,593,0,0.0
272,0.99,514,444.0,1202.0,1175.0,1542972.0,0.99,514,0,0.0
273,0.5,601,436.0,1088.0,1180.0,1561446.0,0.5,601,0,0.0
274,1.01,653,436.0,1152.0,1165.0,1576943.0,1.01,653,0,0.0
275,0.81,623,444.0,1128.0,1180.0,1583542.0,0.81,623,0,0.0
276,0.85,494,441.0,1082.0,1184.0,1590107.0,0.85,494,0,0.0
277,0.73,612,438.0,1168.0,1181.0,1573102.0,0.73,612,0,0.0
278,0.5,541,446.0,1206.0,1180.0,1565664.0,0.5,541,0,0.0
279,0.71,605,450.0,1131.0,1185.0,1563461.0,0.71,605,0,0.0
280,1.05,615,438.0,1116.0,1205.0,1563477.0,1.05,615,0,0.0
281,0.69,552,446.0,1103.0,1205.0,1555788.0,0.69,552,0,0.0
282,0.63,662,453.0,1081.0,1203.0,1579045.0,0.63,662,0,0.0
283,0.9,627,454.0,1080.0,1223.0,1595225.0,0.9,627,0,0.0
284,0.83,588,444.0,1078.0,1227.0,1592448.0,0.83,588,0,0.0
285,1.5,609,472.0,1167.0,1232.0,1610790.0,1.5,609,0,0.0
286,0.57,544,460.0,1080.0,1239.0,1622663.0,0.57,544,0,0.0
287,1.07,607,461.0,1077.0,1249.0,1638949.0,1.07,607,0,0.0
288,0.63,560,464.0,1086.0,1248.0,1622144.0,0.63,560,0,0.0
289,0.72,585,467.0,1131.0,1263.0,1625624.0,0.72,585,0,0.0
290,0.69,563,462.0,1177.0,1266.0,1641418.0,0.69,563,0,0.0
291,0.91,504,477.0,1115.0,1275.0,1644196.0,0.91,504,0,0.0
292,1.13,612,475.0,1167.0,1273.0,1658311.0,1.13,612,0,0.0
293,0.96,538,476.0,1163.0,1297.0,1643732.0,0.96,538,0,0.0
294,0.82,548,480.0,1180.0,1313.0,1654646.0,0.82,548,0,0.0
295,0.83,644,489.0,1191.0,1333.0,1680637.0,0.83,644,0,0.0
296,0.88,587,496.0,1091.0,1357.0,1690375.0,0.88,587,0,0.0
297,0.54,509,482.0,1104.0,1364.0,1710096.0,0.54,509,0,0.0
298,0.39,619,509.0,1082.0,1374.0,1716571.0,0.39,619,0,0.0
299,0.48,568,517.0,1102.0,1388.0,1735036.0,0.48,568,0,0.0
300,0.77,667,504.0,1092.0,1404.0,1735148.0,0.77,667,0,0.0
301,0.94,559,522.0,1143.0,1424.0,1763602.0,0.94,559,0,0.0
302,0.52,536,542.0,1159.0,1436.0,1772306.0,0.52,536,0,0.0
303,0.86,597,555.0,1189.0,1483.0,1803922.0,0.86,597,0,0.0
304,0.77,556,565.0,1190.0,1476.0,1857207.0,0.77,556,0,0.0
305,0.72,562,557.0,1139.0,1507.0,1868449.0,0.72,562,0,0.0
306,0.57,584,569.0,1130.0,1524.0,1897621.0,0.57,584,0,0.0
307,0.82,577,574.0,1124.0,1560.0,1902667.0,0.82,577,0,0.0
308,0.76,527,567.0,1105.0,1581.0,1923225.0,0.76,527,0,0.0
309,1.13,574,588.0,1122.0,1612.0,1935219.0,1.13,574,0,0.0
310,0.66,570,595.0,1129.0,1637.0,1989699.0,0.66,570,0,0.0
311,1.22,513,594.0,1123.0,1662.0,1997489.0,1.22,513,0,0.0
312,0.81,528,619.0,1116.0,1663.0,2033637.0,0.81,528,0,0.0
313,0.83,530,607.0,1181.0,1705.0,2057157.0,0.83,530,0,0.0
314,1.21,635,639.0,1152.0,1716.0,2072807.0,1.21,635,0,0.0
315,1.32,590,642.0,1163.0,1732.0,2080455.0,1.32,590,0,0.0
316,0.45,531,672.0,1135.0,1770.0,2101434.0,0.45,531,0,0.0
317,1.09,568,663.0,1151.0,1777.0,2132758.0,1.09,568,0,0.0
318,0.63,606,683.0,1171.0,1800.0,2175445.0,0.63,606,0,0.0
319,0.79,573,699.0,1169.0,1821.0,2206521.0,0.79,573,0,0.0
320,0.71,546,695.0,1157.0,1831.0,2237790.0,0.71,546,0,0.0
321,0.66,562,692.0,1082.0,1884.0,2235158.0,0.66,562,0,0.0
322,0.97,537,708.0,1079.0,1926.0,2263403.0,0.97,537,0,0.0
323,0.77,587,711.0,1128.0,1970.0,2291181.0,0.77,587,0,0.0
324,0.35,562,716.0,1101.0,2016.0,2327847.0,0.35,562,0,0.0
325,0.94,584,735.0,1161.0,2022.0,2375346.0,0.94,584,0,0.0
326,0.67,601,749.0,1212.0,2049.0,2444891.0,0.67,601,0,0.0
327,0.61,589,751.0,1152.0,2070.0,2458661.0,0.61,589,0,0.0
328,0.59,642,769.0,1154.0,2112.0,2472030.0,0.59,642,0,0.0
329,0.6,518,790.0,1139.0,2155.0,2540705.0,0.6,518,0,0.0
330,0.91,607,794.0,1152.0,2183.0,2566126.0,0.91,607,0,0.0
331,0.64,548,794.0,1126.0,2205.0,2587897.0,0.64,548,0,0.0
332,0.68,665,793.0,1143.0,2263.0,2611646.0,0.68,665,0,0.0
333,0.6,629,822.0,1214.0,2359.0,2646612.0,0.6,629,0,0.0
334,1.53,584,843.0,1172.0,2359.0,2742511.0,1.53,584,0,0.0
335,0.68,579,864.0,1125.0,2403.0,2760862.0,0.68,579,0,0.0
336,0.65,601,876.0,1094.0,2423.0,2779362.0,0.65,601,0,0.0
337,0.68,637,887.0,1201.0,2483.0,2833357.0,0.68,637,0,0.0
338,0.64,602,879.0,1145.0,2485.0,2871957.0,0.64,602,0,0.0
339,1.01,563,908.0,1211.0,2527.0,2910677.0,1.01,563,0,0.0
340,1.21,608,915.0,1158.0,2563.0,2930457.0,1.21,608,0,0.0
341,0.54,567,926.0,1228.0,2584.0,2952482.0,0.54,567,0,0.0
